Variable,Mean,Median,Std Dev,Skewness,Kurtosis,Min,Max,JB p-value,Obs
Panel A: Individual Stock Returns,,,,,,,,,
return_d,0.0007951144420086213,0.0,0.03412793508051669,0.11364152514620307,4.060861233104751,-0.6228127734033245,1.0,0.0,999196.0
return_w,0.0053024917848354105,0.0,0.2242746627791463,107.88218655112709,15730.275687427184,-0.9953101292013425,43.8,0.0,200804.0
return_m,0.022019711539676124,0.0,0.4219885608419238,61.581567844771435,5103.454910897391,-0.9954940457032507,39.7,0.0,30034.0
Panel B: Market Return and Dispersion,,,,,,,,,
csad,0.02198209513109438,0.020627528466450388,0.020631075326170298,43.88176621741879,2358.589560903805,0.0015612705624495015,1.2141792880705151,0.0,4973.0
csad_vn30,0.012269110433195951,0.010898170189455395,0.02043118741832023,46.086985057773504,2507.1308405231493,0.0,1.2091116964050872,0.0,4962.0
r_market,0.0004911864391299783,0.0009712509712509476,0.024253524703101225,21.128703808838164,1293.9473745465511,-0.5459233066003608,1.2047846675194687,0.0,4973.0
Panel C: Macroeconomic Control Variables,,,,,,,,,
cpi_yoy,6.168118621740105,3.62109273885843,4.926772273277592,1.4907120634394684,1.415866918687612,0.631200905175754,23.1154483474477,8.182425173739685e-24,240.0
sbv_policy_rate,6.835416666666666,6.5,2.595960781283827,1.7591931476257274,2.981821737876848,4.0,15.0,1.7928627112032718e-45,240.0
usdvnd,21231.93193455898,21924.918047945175,2611.234692310177,-0.8623924407376381,-0.5226327852350865,15994.25,24164.8858333333,9.891543598673372e-08,240.0
broad_money_gdp_pct,120.7302448037528,120.5109589041096,13.955954488811164,-0.01253105488794769,-1.174708830520637,96.2,141.1,0.0009983065832136725,240.0
