,beta2,t_stat,p_value,herding
Industrial Goods & Services,-0.29757819364435933,-8.620089428995104,6.6901842284282854e-18,Yes
Construction & Materials,-0.13913453310946827,-5.8466463426098,5.015823107673711e-09,Yes
Financial Services,0.27657010606518817,0.10847457753796212,0.9136192456885834,No
Personal & Household Goods,1.4886488679997458,1.3054339080929518,0.1917451385477139,No
Basic Resources,1.7095218680323099,1.9264284101011424,0.05405090286915241,No
Real Estate,2.052990394811681,1.4385427399127202,0.15028011973151473,No
Media,2.4960446880180163,3.002843007305005,0.0026747037010784926,No
Chemicals,3.0289281113843316,2.10481826602211,0.03530713053680811,No
Food & Beverage,3.4815397843741365,3.503412215486148,0.0004593380284719841,No
Utilities,3.9827670403766784,3.516860952785976,0.0004366824742211093,No
Health Care,4.772577271838172,2.7144106681237,0.006639380423223886,No
